time,open,high,low,close,tick_volume
2026.04.20 11:00,4795.729,4808.836,4786.578,4806.307,8196
2026.04.20 10:00,4791.726,4800.84,4789.953,4795.651,6460
2026.04.20 09:00,4795.886,4797.854,4783.231,4791.465,8160
2026.04.20 08:00,4789.629,4796.022,4785.908,4795.925,8456
2026.04.20 07:00,4795.438,4805.556,4786.868,4789.625,11961
2026.04.20 06:00,4790.584,4795.329,4783.709,4795.329,11591
2026.04.20 05:00,4788.634,4795.816,4779.428,4790.83,11582
2026.04.20 04:00,4791.011,4795.838,4786.963,4788.827,6241
2026.04.20 03:00,4797.285,4798.239,4788.811,4790.948,7659
2026.04.20 02:00,4807.75,4808.946,4792.956,4797.346,9854
2026.04.20 01:00,4772.45,4814.36,4771.159,4807.898,18960
2026.04.20 00:00,4755.259,4774.289,4744.867,4772.355,15692
2026.04.19 23:00,4779.331,4779.386,4736.757,4755.037,12138
2026.04.19 22:00,4774.48,4795.312,4770.877,4779.312,11482
2026.04.17 20:00,4854.638,4855.169,4830.619,4832.686,9635
2026.04.17 19:00,4858.353,4861.224,4852.706,4854.478,8791
2026.04.17 18:00,4862.394,4868.01,4855.996,4858.295,8828
2026.04.17 17:00,4866.89,4869.452,4853.618,4862.582,13530
2026.04.17 16:00,4867.415,4873.494,4863.672,4866.776,9808
2026.04.17 15:00,4873.288,4880.32,4854.683,4867.484,20164
2026.04.17 14:00,4880.05,4885.527,4860.627,4873.221,22819
2026.04.17 13:00,4846.289,4889.686,4834.942,4879.99,44552
2026.04.17 12:00,4799.258,4847.725,4797.556,4846.176,22429
2026.04.17 11:00,4787.256,4811.712,4783.354,4799.193,8012
2026.04.17 10:00,4790.491,4793.883,4782.148,4787.196,6441
2026.04.17 09:00,4795.678,4800.86,4790.054,4790.433,6798
2026.04.17 08:00,4784.439,4796.696,4780.91,4795.737,7520
2026.04.17 07:00,4785.121,4794.728,4778.759,4784.453,7906
2026.04.17 06:00,4794.35,4795.259,4779.128,4784.985,9330
2026.04.17 05:00,4802.813,4806.312,4793.611,4794.256,8409
2026.04.17 04:00,4793.308,4804.665,4792.499,4802.802,4701
2026.04.17 03:00,4784.721,4798.115,4784.721,4793.397,6835
2026.04.17 02:00,4789.24,4794.551,4784.436,4784.664,7240
2026.04.17 01:00,4794.945,4795.647,4767.467,4789.244,15261
2026.04.17 00:00,4791.552,4801.194,4785.895,4794.883,6998
2026.04.16 23:00,4795.296,4797.834,4791.644,4791.644,4247
2026.04.16 22:00,4794.428,4797.851,4790.956,4795.354,4564
2026.04.16 20:00,4793.648,4793.908,4786.284,4790.046,3886
2026.04.16 19:00,4789.369,4798.615,4789.369,4793.716,7320
2026.04.16 18:00,4788.918,4794.016,4785.745,4789.32,8953
